timestamp,file,events,models,input_tokens,output_tokens,total_tokens,estimated_cost_usd
2025-10-13T19:57:31.605395+00:00,annual 19 23.01.04 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T20:03:35.231662+00:00,Q1 16 23.01.04 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T20:04:00.152714+00:00,Q1 16 23.01.04 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T20:04:08.933656+00:00,amkr-20220930 Q3 22 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T20:06:23.706491+00:00,amkr-20220930 Q3 22 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T20:07:37.159478+00:00,amkr-20220930 Q3 22 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T20:07:55.970625+00:00,amkr-20220930 Q3 22 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T20:10:01.797898+00:00,amkr-20220930 Q3 22 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T21:22:39.620317+00:00,amkr-20220930 Q3 22 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T21:24:10.085282+00:00,amkr-20220930 Q3 22 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T21:25:52.234087+00:00,amkr-20220930 Q3 22 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T21:27:22.684407+00:00,amkr-20220930 Q3 22 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T21:28:28.430530+00:00,amkr-20220930 Q3 22 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:10:03.777811+00:00,amkr-20220930 Q3 22 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:13:37.858965+00:00,amkr-20220930 Q3 22 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:14:47.814154+00:00,amkr-20220930 Q3 22 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:15:05.913787+00:00,Q1 16 23.01.04 - FS only (robust).pdf,0,,0,0,0,
